path,file,column,min_1,min_diff_1,min_2,min_diff_1,min_3,max_1,max_diff_1,max_2,max_diff_1,max_3,avg,null
/cdiac/cdiac.ornl.gov/pub8/oceans/AMT_data/,AMT1.txt,julday,275.519,0.043,275.562,0.041,275.603,297.728,0.041,297.687,,,285.82,0
/cdiac/cdiac.ornl.gov/pub8/oceans/AMT_data/,AMT1.txt,sst,5.2,0.13,5.33,0.05,5.38,28.97,0.02,28.95,0.07,28.88,21.78,0
/cdiac/cdiac.ornl.gov/pub8/oceans/AMT_data/,AMT1.txt,sal,32.4194,0.001,32.4204,0.2582,32.6786,37.4119,0.0279,37.384,0.0319,37.3521,35.8239,0
/cdiac/cdiac.ornl.gov/pub8/oceans/AMT_data/,AMT1.txt,lon,-57.5334,0.0473,-57.4861,1.9136,-55.5725,-20.35,0.0016,-20.3516,0.0021,-20.3537,-35.4461,0
/cdiac/cdiac.ornl.gov/pub8/oceans/AMT_data/,AMT1.txt,fco2atm,0.2,348.3,348.5,0.4,348.9,377.6,1.1,376.5,0.5,376,360.5,0
/cdiac/cdiac.ornl.gov/pub8/oceans/AMT_data/,AMT1.txt,lat,-51.4134,0.2245,-51.1889,,,27.6539,0.1888,27.4651,0.0968,27.3683,-13.0616,0
/cdiac/cdiac.ornl.gov/pub8/oceans/AMT_data/,AMT1.txt,fco2sw,254.7,1.8,256.5,4.9,261.4,395.2,0.9,394.3,0.4,393.9,351.6,0
/cdiac/cdiac.ornl.gov/pub8/oceans/AMT_data/,AMT1.txt,time,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/AMT_data/,AMT1.txt,date,,,,,,,,,,,,0
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,fCO2_SW@SST_uatm,-999,1178.02,179.02,2.45,181.47,483.44,0.06,483.38,2,481.38,270.55,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,fCO2_ATM_interpolated_uatm,-999,1386.15,387.15,0.02,387.17,412.26,0.01,412.25,0.01,412.24,334.7,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,PRES_ATM@SSP_hPa,-999,1990.7,991.7,0.08,991.78,1041.48,0.08,1041.4,0.08,1041.32,921.94,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,PRES_EQU_hPa,-999,1990.19,991.19,0.47,991.66,1042.72,0.4,1042.32,0.15,1042.17,922.55,-999
/cdiac/cdiac.ornl.gov/pub8/oceans/Bigelow_ECoast/HB2013/,hb1301.csv,xCO2_EQU_ppm,-999,1184.076,185.076,1.573,186.649,497.685,0.311,497.374,1.843,495.531,279.022,-999
